uniqueID,rating,usefulCount
163740,10,22
206473,8,17
159672,9,3
39293,9,35
97768,9,4
208087,4,13
215892,6,1
169852,9,32
23295,7,21
71428,2,3
196802,1,17
31947,6,7
4907,1,57
66736,10,19
97013,2,44
213376,9,14
151674,10,26
33173,3,1
30401,6,24
152490,10,9
231397,1,15
38116,9,43
102969,1,27
12626,1,17
190527,9,10
229975,6,18
173391,10,47
35608,8,38
187230,10,19
211675,7,1
79865,10,4
27607,10,19
207923,8,15
156919,1,24
77164,5,21
101149,4,42
178004,9,32
60341,7,0
141462,9,32
133539,3,12
191095,10,55
50229,8,75
130301,10,20
101371,1,6
79569,8,21
17957,10,4
219567,1,4
171525,8,49
173027,6,20
202002,4,2
143003,3,0
31908,1,5
3350,9,7
226299,5,7
190325,9,7
146651,6,104
25240,9,75
5357,7,14
13407,2,57
46742,8,32
11464,1,16
124544,10,3
229996,1,36
131523,2,13
209386,1,22
229572,8,26
105440,10,125
201582,1,51
158346,10,33
159659,1,0
15423,3,4
95748,10,88
6971,7,5
131683,1,18
188604,1,4
19559,10,228
104580,9,4
26989,10,36
128575,10,5
122089,8,36
191146,10,80
120889,1,5
167387,10,14
204427,4,17
58200,8,21
147575,10,9
181913,10,45
177034,10,22
213569,3,0
138243,1,12
107660,5,1
34479,10,22
129438,10,1
102941,8,16
167908,1,10
56193,10,4
159628,1,9
58280,9,15
38461,10,34
128928,10,0
41991,10,159
85618,4,35
62652,10,14
129850,8,9
103401,1,35
45260,10,58
222701,1,31
218886,8,22
224062,8,22
9723,1,3
215685,5,6
188968,10,7
224823,4,15
169168,10,0
138742,9,19
81226,2,4
215782,10,24
219697,1,0
168177,9,5
21821,9,12
189728,10,60
108899,3,2
224904,5,11
135063,2,15
225258,10,11
6760,10,12
9695,10,10
44179,5,2
65334,10,21
225793,10,224
201017,2,14
134836,1,14
181313,1,24
204311,3,21
167965,6,4
140925,10,63
33560,9,12
81808,9,26
223540,9,80
15168,8,6
72043,1,18
53685,1,2
204466,10,84
70808,10,16
214538,10,22
230576,6,2
192374,4,8
187095,5,2
165665,10,2
131772,10,28
176098,6,26
103111,9,11
214584,10,6
58995,10,13
201473,8,47
186353,3,7
165767,7,0
192633,4,7
165109,10,48
205428,3,11
229587,5,0
31465,3,3
136044,10,62
10545,10,82
180154,3,6
53409,10,32
37326,8,18
230601,10,3
5486,9,9
64109,3,12
70424,9,20
66458,9,7
14420,10,16
198057,5,14
205505,7,81
120460,9,7
221339,2,10
171255,4,2
195055,1,23
75416,10,10
179764,2,1
210167,10,25
194809,9,28
221626,10,30
145956,5,19
110030,9,2
135690,5,12
115272,10,9
10485,9,7
170238,9,23
113665,10,30
14924,5,2
223117,10,11
106073,9,43
188723,10,7
115374,10,9
199475,9,1
66036,10,59
179979,9,27
16674,8,8
35120,1,4
169001,10,25
157670,10,28
